dernier_jour_du_mois;masse_salariale_brute;glissement_annuel_masse_salariale;assiette_chomage_partiel;part_assiette_chomage_partiel
2018-07-31;47511444973;3.5976756173;45469769;0.0956112676
2018-12-31;56002817496;3.3190508188;55729461;0.0994129602
2019-02-28;46506878382;3.0310876602;59406417;0.1275738815
2019-12-31;57094533712;1.9493951641;56070642;0.0981103221
2020-05-31;39391285135;-18.50124408;5026058436;11.315531349
2020-06-30;48116765421;-7.287335505;2664957719;5.2478678434
2020-08-31;46049456262;-1.796267715;842379691;1.7964314552
2021-01-31;47344664102;-2.672570028;1397496188;2.8671199218
2021-08-31;48831806532;6.0420914726;305335366;0.621394233
2021-11-30;54573787142;11.471635101;244436167;0.4459031181
2021-12-31;59976760195;8.9925723775;242404559;0.4025372321
2018-02-28;45138685263;3.3823955707;93043381;0.205703792
2018-03-31;50102273189;3.5286604561;77734990;0.1549122705
2018-04-30;47590584439;4.0567137458;51863299;0.1088594341
2018-05-31;46769662654;3.1323356327;49338347;0.1053810332
2018-08-31;45261356311;3.4569283417;41534884;0.0916826342
2018-09-30;46461314505;3.1644635048;39769110;0.0855229748
2018-10-31;46229740793;3.7470397353;48314222;0.1043998543
2019-01-31;46791196479;1.7684924835;63991487;0.1365728957
2019-04-30;49373356640;3.7460607429;50961849;0.1031108785
2019-06-30;51898805501;2.6152846415;51946016;0.0999908846
2019-08-31;46891757768;3.6021931066;46328048;0.0987003351
2019-09-30;48037501574;3.3924719647;47299744;0.0983673483
2019-11-30;51666197025;3.0637387607;59485772;0.115002391
2020-02-28;48255240147;3.7593616812;58840531;0.1217875414
2020-04-30;37203084617;-24.64947261;6864316813;15.576858608
2020-07-31;47276292074;-4.511321381;1457369017;2.9904771864
2020-09-30;47619503448;-0.870149596;753388752;1.5574606308
2020-10-31;47039491923;-1.773325849;960226525;2.0004836613
2020-11-30;48957555070;-5.24258047;2340193409;4.5619807465
2020-12-31;55028300449;-3.618968627;1725083986;3.0396142947
2021-05-31;48095932711;22.097901975;1356917425;2.7438609125
2021-09-30;50579235762;6.2153783633;278675346;0.5479488637
2021-10-31;50378610655;7.0985433632;251747163;0.4972257236
2022-01-31;51927345136;9.6794034152;273509260;0.5239555236
2022-02-28;51610715689;10.624361672;234564499;0.4524317318
2018-01-31;45978077632;3.7236578446;65170920;0.1415428365
2018-06-30;50576096614;3.6788181066;52492798;0.1036821263
2018-11-30;50130334535;3.4894049407;56400360;0.1123810109
2019-03-31;51559927411;2.9093574587;55180890;0.1069084069
2019-05-31;48333602998;3.3439205144;51194024;0.1058060117
2019-07-31;49509840075;4.2061341286;51466781;0.103844681
2019-10-31;47888714883;3.5885429197;58820340;0.1226764624
2020-01-31;48644728537;3.9612837403;60566399;0.1243528021
2020-03-31;47869662869;-7.157233781;2596101905;5.1442832911
2021-02-28;46654023498;-3.318223356;1529573261;3.1744688315
2021-03-31;51782545143;8.174033489;1657602399;3.1017923326
2021-04-30;48568243573;30.548969455;1977514605;3.9123255369
2021-06-30;53817063274;11.846801844;718064584;1.3167010186
2021-07-31;51332291818;8.5793524959;448692854;0.866520513
2022-03-31;58307145831;12.603486558;196565049;0.3359873178
